Staff ID,Timestamp,Latitude,Longitude,Location
STAFF001,22:17:00,13.04063061,80.0437963,Outside
STAFF002,22:19:56,13.04061294,80.04380526,Outside
STAFF004,22:28:25,13.04062625,80.04385048,Outside
STAFF006,22:29:18,13.04073023,80.04376297,Outside
STAFF056,22:50:13,13.04049299,80.04399284,Outside
STAFF023,22:51:18,13.04050884,80.04391713,Outside
STAFF123,23:30:22,13.04070087,80.04380312,Outside
STAFF456,11:46:30,13.0395851,80.04569149,C Blocks (C1–C4)
STAFF678,12:52:25,13.03858425,80.04563365,A / Admin Block
STAFF124,12:56:06,13.0386527,80.0456381,Outside
STAFF008,12:57:16,13.03855233,80.04559639,A / Admin Block
STAFF690,13:23:45,13.03875167,80.04507902,B Block
STAFF98,13:39:21,13.0381199,80.0454167,Outside
STAFF854,14:15:57,13.0388546,80.045024,B Block
